XNSE/MFIIFLFMPS1G_UADJ,India Infoline Asset Management Co. Ltd (MFIIFLFMPS1G) Unadjusted Stock Prices
XNSE/XPROINDIA_UADJ,Xpro India Ltd. (XPROINDIA) Unadjusted Stock Prices
XNSE/ANSALHSG_UADJ,Ansal Housing & Construction Ltd. (ANSALHSG) Unadjusted Stock Prices
XNSE/MUTHOOTCAP_UADJ,Muthoot Capital Services Ltd. (MUTHOOTCAP) Unadjusted Stock Prices
XNSE/HYDROS_S_UADJ,Hydro S&S Industries Ltd. (HYDROS.S) Unadjusted Stock Prices
XNSE/VIMTALABS_UADJ,Vimta Labs Ltd. (VIMTALABS) Unadjusted Stock Prices
XNSE/PUNJABTRAC_UADJ,Punjab Tractors Ltd. (PUNJABTRAC) Unadjusted Stock Prices
XNSE/AKSHOPTFBR_UADJ,Aksh Optifibre Ltd. (AKSHOPTFBR) Unadjusted Stock Prices
XNSE/RAMANEWS_UADJ,Shree Rama Newsprint Ltd (RAMANEWS) Unadjusted Stock Prices
XNSE/ZANDUREALT_UADJ,Zandu Realty Ltd (ZANDUREALT) Unadjusted Stock Prices
XNSE/XLENERGY_UADJ,XL Energy Ltd. (XLENERGY) Unadjusted Stock Prices
XNSE/N3HUDCO_UADJ,Housing & Urban Development Corporation. (N3HUDCO) Unadjusted Stock Prices
XNSE/SPICEMOBI_UADJ,Spice Mobility Ltd (SPICEMOBI) Unadjusted Stock Prices
XNSE/PRESTIGE_UADJ,Prestige Estates Projects Limited (PRESTIGE) Unadjusted Stock Prices
XNSE/RPGTLTD_UADJ,RPG Transmission Ltd. (RPGTLTD) Unadjusted Stock Prices
XNSE/PHILCORP_UADJ,Kore Foods Ltd. (PHILCORP) Unadjusted Stock Prices
XNSE/CARERATING_UADJ,CARE Ratings Ltd. (CARERATING) Unadjusted Stock Prices
XNSE/N4RELIFIN_UADJ,Religare Finvest Limited (N4RELIFIN) Unadjusted Stock Prices
XNSE/JINDCOT_UADJ,Jindal Cotex Limited. (JINDCOT) Unadjusted Stock Prices
XNSE/DEEPAKFERT_UADJ,Deepak Fertilisers & Petrochemicals Corp. Ltd. (DEEPAKFERT) Unadjusted Stock Prices
XNSE/MFIPRU1772_UADJ,ICICI Prudential Asset Management Company Ltd. (MFIPRU1772) Unadjusted Stock Prices
XNSE/MRO_TEK_UADJ,MRO-TEK Realty Ltd. (MRO-TEK) Unadjusted Stock Prices
XNSE/N2RELIFIN_UADJ,Religare Finvest Limited (N2RELIFIN) Unadjusted Stock Prices
XNSE/SMSIIL_UADJ,Supreme (India) Impex Ltd. (SMSIIL) Unadjusted Stock Prices
XNSE/BBTC_UADJ,Bombay Burmah Trading Corporation Ltd. (BBTC) Unadjusted Stock Prices
XNSE/NORBTEAEXP_UADJ,Norben Tea & Exports Ltd. (NORBTEAEXP) Unadjusted Stock Prices
XNSE/VIKASGLOB_UADJ,Vikas EcoTech Ltd. (VIKASGLOB) Unadjusted Stock Prices
XNSE/FAGBEARING_UADJ,Fag Bearings (India) Ltd. (FAGBEARING) Unadjusted Stock Prices
XNSE/NGCT_UADJ,Spacenet Enterprises India Ltd. (NGCT) Unadjusted Stock Prices
XNSE/LYKALABS_UADJ,Lyka Labs Ltd. (LYKALABS) Unadjusted Stock Prices
XNSE/WALCHANNAG_UADJ,Walchandnagar Industries Ltd. (WALCHANNAG) Unadjusted Stock Prices
XNSE/RELIGARE_UADJ,Religare Enterprises Ltd. (RELIGARE) Unadjusted Stock Prices
XNSE/SUZLON_UADJ,Suzlon Energy Ltd. (SUZLON) Unadjusted Stock Prices
XNSE/SINTEX_UADJ,Sintex Industries Ltd. (SINTEX) Unadjusted Stock Prices
XNSE/EIHOTEL_UADJ,EIH Ltd. (EIHOTEL) Unadjusted Stock Prices
XNSE/RBL_UADJ,Rane Brake Lining Ltd (RBL) Unadjusted Stock Prices
XNSE/BANCOINDIA_UADJ,Banco Products (India) Ltd. (BANCOINDIA) Unadjusted Stock Prices
XNSE/VESUVIUS_UADJ,Vesuvius India Ltd. (VESUVIUS) Unadjusted Stock Prices
XNSE/PERSISTENT_UADJ,Persistent Systems Ltd. (PERSISTENT) Unadjusted Stock Prices
XNSE/RAJOIL_UADJ,Raj Oil Mills Ltd (RAJOIL) Unadjusted Stock Prices
XNSE/HARRMALAYA_UADJ,Harrisons Malayalam Ltd. (HARRMALAYA) Unadjusted Stock Prices
XNSE/MINDTREE_UADJ,MindTree Ltd (MINDTREE) Unadjusted Stock Prices
XNSE/MFUFTFGR15PX_UADJ,UTI Asset Management Company Ltd (MFUFTFGR15PX) Unadjusted Stock Prices
XNSE/HTMEDIA_UADJ,HT Media Ltd. (HTMEDIA) Unadjusted Stock Prices
XNSE/GOLDBEES_UADJ,Goldman Sachs Asset Management (India) Pvt. Ltd. (GOLDBEES) Unadjusted Stock Prices
XNSE/AGRITECH_UADJ,Agri-Tech (India) Ltd. (AGRITECH) Unadjusted Stock Prices
XNSE/SEZAL_UADJ,Sejal Glass Ltd (SEZAL) Unadjusted Stock Prices
XNSE/OISL_UADJ,OCL Iron & Steel Ltd (OISL) Unadjusted Stock Prices
XNSE/ISMTLTD_UADJ,ISMT Ltd. (ISMTLTD) Unadjusted Stock Prices
XNSE/SETFNIFTY_UADJ,SBI Funds Management Private Limited (SETFNIFTY) Unadjusted Stock Prices
XNSE/CLASSIC_UADJ,Classic Diamonds (India) Ltd. (CLASSIC) Unadjusted Stock Prices
XNSE/JMCPROJECT_UADJ,JMC Projects (India) Ltd. (JMCPROJECT) Unadjusted Stock Prices
XNSE/CHENNPETRO_UADJ,Chennai Petroleum Corporation Ltd. (CHENNPETRO) Unadjusted Stock Prices
XNSE/ACROPETAL_UADJ,Acropetal Technologies Ltd (ACROPETAL) Unadjusted Stock Prices
XNSE/PSTL_UADJ,Pyramid Saimira Theatre Ltd. (PSTL) Unadjusted Stock Prices
XNSE/TGBHOTELS_UADJ,TGB Banquets & Hotels Ltd (TGBHOTELS) Unadjusted Stock Prices
XNSE/WELENTRP_UADJ,Welspun Enterprises Ltd (WELENTRP) Unadjusted Stock Prices
XNSE/WANBURY_UADJ,Wanbury Ltd. (WANBURY) Unadjusted Stock Prices
XNSE/ORTINLABSS_UADJ,Ortin Laboratories Ltd. (ORTINLABSS) Unadjusted Stock Prices
XNSE/SESHAPAPER_UADJ,Seshasayee Paper & Boards Ltd. (SESHAPAPER) Unadjusted Stock Prices
XNSE/THOMASCOTT_UADJ,Thomas Scott (India) Ltd (THOMASCOTT) Unadjusted Stock Prices
XNSE/MOTHERSUMI_UADJ,Motherson Sumi Systems Ltd. (MOTHERSUMI) Unadjusted Stock Prices
XNSE/ALLCARGO_UADJ,Allcargo Logistics Ltd (ALLCARGO) Unadjusted Stock Prices
XNSE/BALRAMCHIN_UADJ,Balrampur Chini Mills Ltd. (BALRAMCHIN) Unadjusted Stock Prices
XNSE/PRITHVISOF_UADJ,Prithvi Softech Ltd. (PRITHVISOF) Unadjusted Stock Prices
XNSE/RAJRAYON_UADJ,Raj Rayon Industries Ltd. (RAJRAYON) Unadjusted Stock Prices
XNSE/DLINKINDIA_UADJ,D-Link (India) Ltd. (DLINKINDIA) Unadjusted Stock Prices
XNSE/UNITEDBNK_UADJ,United Bank of India (UNITEDBNK) Unadjusted Stock Prices
XNSE/N1COROMANDEL_UADJ,Coromandel International Ltd (N1COROMANDEL) Unadjusted Stock Prices
XNSE/JKLAKSHMI_UADJ,JK Lakshmi Cement Ltd. (JKLAKSHMI) Unadjusted Stock Prices
XNSE/ORIENTHOT_UADJ,Oriental Hotels Ltd. (ORIENTHOT) Unadjusted Stock Prices
XNSE/GSS_UADJ,GSS Infotech Ltd. (GSS) Unadjusted Stock Prices
XNSE/GRUH_UADJ,GRUH Finance Ltd. (GRUH) Unadjusted Stock Prices
XNSE/ALBK_UADJ,Allahabad Bank (ALBK) Unadjusted Stock Prices
XNSE/ANDHRACEMT_UADJ,Andhra Cements Ltd. (ANDHRACEMT) Unadjusted Stock Prices
XNSE/SMSHAIVAL_UADJ,Shaival Reality Ltd. (SMSHAIVAL) Unadjusted Stock Prices
XNSE/KRBL_UADJ,KRBL Ltd. (KRBL) Unadjusted Stock Prices
XNSE/SARDAEN_UADJ,Sarda Energy & Minerals Ltd. (SARDAEN) Unadjusted Stock Prices
XNSE/JKCEMENT_UADJ,J.K. Cement Ltd. (JKCEMENT) Unadjusted Stock Prices
XNSE/CREWBOS_UADJ,Crew B.O.S. Products Ltd. (CREWBOS) Unadjusted Stock Prices
XNSE/BASF_UADJ,BASF India Ltd. (BASF) Unadjusted Stock Prices
XNSE/KFA_UADJ,Kingfisher Airlines Ltd (KFA) Unadjusted Stock Prices
XNSE/BALKRISIND_UADJ,Balkrishna Industries Ltd. (BALKRISIND) Unadjusted Stock Prices
XNSE/ORIENTBANK_UADJ,Oriental Bank of Commerce (ORIENTBANK) Unadjusted Stock Prices
XNSE/MFIIFLFMPS3G_UADJ,India Infoline Asset Management Co. Ltd (MFIIFLFMPS3G) Unadjusted Stock Prices
XNSE/W1OUDHSUG_UADJ,Oudh Sugar Mills Ltd. (W1OUDHSUG) Unadjusted Stock Prices
XNSE/MFUTIFEFRGR1_UADJ,UTI Asset Management Company Ltd (MFUTIFEFRGR1) Unadjusted Stock Prices
XNSE/ANKITMETAL_UADJ,Ankit Metal & Power Ltd. (ANKITMETAL) Unadjusted Stock Prices
XNSE/GLOBUSSPR_UADJ,Globus Spirits Ltd (GLOBUSSPR) Unadjusted Stock Prices
XNSE/N1JNPT_UADJ,Jawaharlal Nehru Port Trust (N1JNPT) Unadjusted Stock Prices
XNSE/UNITY_UADJ,Unity Infraprojects Ltd. (UNITY) Unadjusted Stock Prices
XNSE/P1ZEEL_UADJ,Zee Entertainment Enterprises Ltd (P1ZEEL) Unadjusted Stock Prices
XNSE/ADANIENT_UADJ,Adani Enterprises Ltd (ADANIENT) Unadjusted Stock Prices
XNSE/WSI_UADJ,W.S. Industries (India) Ltd. (WSI) Unadjusted Stock Prices
XNSE/PRATIBHA_UADJ,Pratibha Industries Ltd. (PRATIBHA) Unadjusted Stock Prices
XNSE/MADHAV_UADJ,Madhav Marbles & Granites Ltd. (MADHAV) Unadjusted Stock Prices
XNSE/OMKARCHEM_UADJ,Omkar Speciality Chemicals Ltd (OMKARCHEM) Unadjusted Stock Prices
XNSE/SWANENERGY_UADJ,Swan Energy Ltd (SWANENERGY) Unadjusted Stock Prices
XNSE/ELECON_UADJ,Elecon Engineering Co. Ltd. (ELECON) Unadjusted Stock Prices
XNSE/GTLINFRA_UADJ,GTL Infrastucture Ltd (GTLINFRA) Unadjusted Stock Prices
XNSE/ZENITHCOMP_UADJ,Zenith Computer Ltd. (ZENITHCOMP) Unadjusted Stock Prices
XNSE/TULIP_UADJ,Tulip Telecom Ltd (TULIP) Unadjusted Stock Prices
XNSE/CMC_UADJ,CMC Ltd. (CMC) Unadjusted Stock Prices
XNSE/ICSA_UADJ,I.C.S.A (India) Ltd (ICSA) Unadjusted Stock Prices
XNSE/INIFTY_UADJ,ICICI Prudential Asset Management Company Ltd. (INIFTY) Unadjusted Stock Prices
XNSE/GAL_UADJ,Gyscoal Alloys Ltd (GAL) Unadjusted Stock Prices
XNSE/SHAKTIPUMP_UADJ,Shakti Pumps (India) Ltd. (SHAKTIPUMP) Unadjusted Stock Prices
XNSE/PRIMESECU_UADJ,Prime Securities Ltd. (PRIMESECU) Unadjusted Stock Prices
XNSE/BIRLACOT_UADJ,Birla Cotsyn (India) Ltd (BIRLACOT) Unadjusted Stock Prices
XNSE/MENONBE_UADJ,Menon Bearings Ltd. (MENONBE) Unadjusted Stock Prices
XNSE/N6SRTRANSFIN_UADJ,Shriram Transport Finance Co. Ltd. (N6SRTRANSFIN) Unadjusted Stock Prices
XNSE/AHLUCONT_UADJ,Ahluwalia Contracts (India) Ltd. (AHLUCONT) Unadjusted Stock Prices
XNSE/PVP_UADJ,PVP Ventures Ltd (PVP) Unadjusted Stock Prices
XNSE/SATYAMCOMP_UADJ,Satyam Computer Services Ltd. (SATYAMCOMP) Unadjusted Stock Prices
XNSE/SRF_UADJ,SRF Ltd. (SRF) Unadjusted Stock Prices
XNSE/SANGHVIFOR_UADJ,Sanghvi Forging and Engineering Ltd (SANGHVIFOR) Unadjusted Stock Prices
